txStart	txEnd	name	geneType
33513998	34165274	CSMD2	protein_coding
33513998	34165842	CSMD2	protein_coding
33513998	34165842	CSMD2	protein_coding
75204474	75611084	SLC44A5	protein_coding
92246401	92298976	GLMN	protein_coding
175945152	176206978	RFWD2	protein_coding
184387057	184629020	C1orf21	protein_coding
209704845	209734950	HSD11B1	protein_coding
1020122	1056118	AGRN	protein_coding
3069210	3438621	PRDM16	protein_coding
15684389	15734769	PLEKHM2	protein_coding
18871431	18902781	ALDH4A1	protein_coding
20807003	21176847	EIF4G3	protein_coding
20807318	21176836	EIF4G3	protein_coding
23019492	23083688	KDM1A	protein_coding
37715853	37765066	EPHA10	protein_coding
39841021	39883504	TRIT1	protein_coding
39841050	39883506	TRIT1	protein_coding
45016398	45206556	ZSWIM5	protein_coding
46043660	46176488	PIK3R3	protein_coding
46134530	46139081	RP4-533D7.5	antisense
47183970	47191044	PDZK1IP1	protein_coding
48222684	48247601	SLC5A9	protein_coding
48817506	50023900	AGBL4	protein_coding
65992421	66374573	PDE4B	protein_coding
67832302	68202987	GNG12-AS1	antisense
71081323	71463501	ZRANB2-AS2	processed_transcript
76074718	76634601	ST6GALNAC3	protein_coding
78620402	78646145	IFI44L	protein_coding
81306165	81992422	ADGRL2	protein_coding
86914673	87109998	HS2ST1	protein_coding
86993008	87169204	RP5-1052I5.2	protein_coding
97077742	97921023	DPYD	protein_coding
111139626	111185102	CEPT1	protein_coding
116373866	116404772	ATP1A1	protein_coding
148808465	149032955	PDE4DIP	protein_coding
148808484	149032955	PDE4DIP	protein_coding
149937811	150010676	OTUD7B	protein_coding
153992693	154155116	NUP210L	protein_coding
155186122	155192867	MUC1	protein_coding
155186122	155192867	MUC1	protein_coding
155186122	155192867	MUC1	protein_coding
155188586	155189452	AC234582.2	protein_coding
156213008	156243214	PMF1-BGLAP	protein_coding
164559634	164851831	PBX1	protein_coding
164559743	164849829	PBX1	protein_coding
164626005	164848522	PBX1	protein_coding
165662215	165698863	ALDH9A1	protein_coding
171841497	172133392	DNM3	protein_coding
171841499	172412717	DNM3	protein_coding
171841499	172412717	DNM3	protein_coding
175077388	175147391	TNN	protein_coding
179293713	179358677	SOAT1	protein_coding
179293801	179358680	SOAT1	protein_coding
182450145	182560558	RGSL1	protein_coding
183472477	183554193	SMG7	protein_coding
183472501	183554186	SMG7	protein_coding
183472526	183554190	SMG7	protein_coding
197084127	197146694	ASPM	protein_coding
197088204	197146694	ASPM	protein_coding
198156962	198322420	NEK7	protein_coding
198157120	198256531	NEK7	protein_coding
199148597	199393307	RP11-382E9.1	lincRNA
204422629	204490346	PIK3C2B	protein_coding
207496156	207640647	CR1	protein_coding
210683237	211134115	KCNH1	protein_coding
